,,FRONT,,,REAR,,,,,
04-9/07,TERRITORY SX SY AWD 4WD,KFFL-57SP,KFFR-57,KFFR-58,KFRL-69,KFRS-69,KFRR-69,,,
10/07 ON,TERRITORY SX SY RWD 2WD,KFFL-53,KFFS-53,KFFR-53,KFRL-69SL,KFRS-69,KFRR-69,,,
10/07 ON,TERRITORY SX SY AWD 4WD,KFFL-53,KFFS-53,KFFR-53,KFRL-69,KFRS-69,KFRR-69,,,
4/94-9/00,TRANSIT VAN VE VF VG,,,KFFR-35,,,,,,
HOLDEN,,,,,,,,,,
53-56,FJ,KHFL-0,KHFS-0,,,,,,,
57-59,FE FC,KHFL-21,KHFS-21,,,,,,,
60-67,FB-HR,KHFL-01,KHFS-01,KHFS-02,,,,,,
68-71,HK-HG 6CYL,KHFL-42,KHFS-02,KHFR-02,,,,,,
68-71,HK-HG V8,KHFL-02,KHFR-02,KHFL-25,,,,,,
68-71,HK-HG MONARO 6CYL,KHFL-42,KHFS-02,KHFR-02,,,,,,
68-71,HK-HG MONARO V8,KHFL-10,KHFS-10,,HOL-507,,,,,
71-78,HQ-HX SEDAN 6CYL,KHFL-43,KHFS-43,KHFS-03,KHRL-04,KHRS-04,KHRS-05,,,
71-78,HQ-HX WAGON 6CYL,KHFL-43,KHFS-43,KHFS-03,KHRS-04,KHRS-05,KHRR-05,,,
71-78,HQ-HX PVAN 6CYL,KHFL-43,KHFS-43,KHFS-03,,,,,,
71-78,HQ-HX SEDAN V8,KHFL-03,KHFS-03,KHFR-03,KHRL-04,KHRS-04,KHRS-05,,,
71-78,HQ-HX WAGON V8,KHFL-03,KHFS-03,KHFR-03,KHRS-04,KHRS-05,KHRR-05,,,
71-78,HQ-HX PVAN V8,KHFL-03,KHFS-03,KHFR-03,,,,,,
71-79,HQ-HZ MONARO 6CYL,KHFL-25,KHFL-03,,KHRL-26,KHRL-04,,,,
71-79,HQ-HZ MONARO V8,KHFL-43,KHFL-13,,KHRL-26,KHRL-04,,,,
78-79,HZ RTS SEDAN 6CYL,KHFL-03,KHFS-43,KHFS-03,KHRL-04,KHRS-04,KHRS-05,,,
78-79,HZ RTS WAGON 6CYL,KHFL-03,KHFS-43,KHFS-03,KHRS-04,KHRS-05,KHRR-05,,,
78-85,HZ-WB RTS UTE PVAN 6CYL,KHFL-03,KHFS-03,KHFR-03,,,,,,
78-79,HZ RTS SEDAN V8,KHFL-03,KHFS-03,KHFR-03,KHRL-04,KHRS-04,KHRS-05,,,
78-79,HZ RTS WAGON V8,KHFL-03,KHFS-03,KHFR-03,KHRS-04,KHRS-05,KHRR-05,,,
78-85,HZ-WB RTS UTE PVAN V8,KHFL-13,KHFS-03,KHFR-03,,,,,,
10/03-06,ADVENTRA VYII VZ,KHFR-19,,KHFR-64,KHRS-69,,KHRR-65,,,
89-93,APOLLO JK JL SEDAN,KTFL-53,KTFS-53,,KTRL-86,KTRS-36,KTRL-78,,,
91-93,APOLLO JK JL WAGON,KTFL-53,KTFS-53,,KTRL-78,KTRS-78,KTRS-78HD,,,
93-97,APOLLO JM JP SEDAN 4CYL,KTFL-63SLSL,KTFS-60,,KTRL-61,KTRS-61,,,,
93-97,APOLLO JM JP SEDAN V6,KTFL-63SL,KTFS-60,,KTRL-61,KTRS-61,,,,
93-97,APOLLO JM JP WAGON 4CYL,KTFL-63SLSL,KTFS-60,,KTRS-61,KTRS-62,,,,
93-97,APOLLO JM JP WAGON V6,KTFL-63SL,KTFS-60,,KTRS-61,KTRS-62,,,,
84-87,ASTRA LB LC,KMFL-06,KDFS-22,,KDRL-23,KDRS-23,,,,
87-89,ASTRA LD,KFFL-15,KDRL-83,,KDRL-50,KFFS-15,,,,
9/96-7/98,ASTRA TR,KDFL-103,,,KHRL-50,,,,,
8/98-05,ASTRA TS,KHFL-71,KHFS-71,,KHRL-128,KHRS-128,,,,
5/03-12/04,ASTRA TS CONVERTIBLE,KHFL-71,KHFS-71,,KHRS-128SP,,,,,
