,,FRONT,,,REAR,,,,,
8/07-12/11,IMPREZA G3 MY08 HATCH INC WRX,KSFL-52,,,KSRL-53,,,,,
2012 ON,IMPREZA G4 INC WRX,KSFL-52SSL,,,KSRL-58,,,,,
89-5/94,LIBERTY SEDAN 1ST GEN 2WD,KSFL-04,KFFS-25,,KSRL-05,KSRS-05,,,,
91-5/94,LIBERTY SEDAN 4WD RS TURBO,KSFL-04,KFFS-25,,KSRL-07,KSRS-07,,,,
6/94-10/98,LIBERTY SEDAN 2ND GEN,KSFL-04,KFFS-25,,KSRL-09,KSRS-09,,,,
11/98-8/03,LIBERTY SEDAN 3RD GEN,KSFL-28,KSFR-22,,KSRL-27,KSRL-29,,,,
9/03-2009,LIBERTY SEDAN 4TH GEN MY04,KSFL-42SP,,,KSRL-27,KSRL-29,,,,
9/03-2009,LIBERTY SEDAN 4TH GEN GT,KSFL-42,,,KSRL-27,KSRL-29,,,,
09 ON,LIBERTY SEDAN 5TH GEN 2.5L,KSFL-42SP,,,KSRL-58,KSRS-58,KSRR-58,,,
09 ON,LIBERTY SEDAN 5TH GEN 3.6L,KSFL-42,,,KSRL-58,KSRS-58,KSRR-58,,,
89-5/94,LIBERTY WAGON 1ST GEN,KSFL-04,KFFS-25,,,KSRS-08,,,,
6/94-10/98,LIBERTY WAGON 2ND GEN,KSFL-04,KFFS-25,,KSRL-25,KSRS-25,,,,
11/98-8/03,LIBERTY WAGON 3RD GEN,KSFL-28,KSFR-22,KSFR-28,KSRL-29,KSRS-29,KSRR-29,,,
9/03-2011,LIBERTY WAGON 4TH GEN MY04,KSFL-42SP,,,KSRL-29,KSRS-29,KSRR-29,,,
11 ON,LIBERTY WAGON 5TH GEN MY10,KSFL-42SP,,,KSRL-60,KSRS-60,KSRR-60,,,
96-10/98,OUTBACK BG9,KFFL-25,KFFS-25,KSFR-26,KSRL-25,KSRS-25,KSRR-25,,,
11/98-8/03,OUTBACK BH 4CYL 2.5L,KSFR-22,KSFS-32,KSFR-32,KSRL-29,KSRS-29,KSRR-29,,,
11/98-8/03,OUTBACK BH 6CYL 3.0L,,,KSFR-32SP,,KSRS-29,KSRR-29,,,
9/03-8/09,OUTBACK BP 4CYL 2.5L,,,KSFR-51,,KSRS-29,KSRR-29,,,
9/03-8/09,OUTBACK BP 6CYL 3.0L,,,KSFR-51SP,,KSRS-29,KSRR-29,,,
SUZUKI,,,,,,,,,,
95-01,BALENO SEDAN HATCH,KSFL-20,KSFS-20,,KSRL-21,KSRS-21,,,,
95-01,BALENO WAGON,KSFL-20,KSFS-20,,,KSRS-21SP,,,,
88-3/98,VITARA 2 DOOR 1.6 SWB,KSFL-14,,KSFR-14,KSRL-15,,KSRR-15,,,
88-3/98,VITARA 2 DOOR 2L SWB,,,KSFR-16,,,KSRR-15,,,
91-3/98,VITARA 4 DOOR 1.6,,,KSFR-16,,,KSRR-17,,,
4/98-7/05,GRAND VITARA 4CYL SQ SWB,,,KSFS-34,,,KSRS-35,,,
4/98-7/05,GRAND VITARA 4CYL SQ LWB,,,KSFS-34,,KSRS-35,KSRR-35,,,
8/05 ON,GRAND VITARA JB V6 DIESEL,,,KSFR-46,,,KSRR-47,,,
8/05 ON,GRAND VITARA JB 4CYL 1.6L,,,KSFR-46SP,,,KSRR-47,,,
03-05,IGNIS SPORT 1.5,KSFL-44,,,KSRL-45,,,,,
00-05,IGNIS 3 5 DOOR,KSFL-06,,,KDRL-118,,,,,
98-09,JIMNY,,,KSFR-36H,,,KSRR-37H,,,
86-88,SWIFT INC GTI,KSFL-12,KSFS-12,,KSRL-11,KFRS-96,,,,
89-10/99,SWIFT CINO INC GTI,KSFL-10,KSFS-10,,KSRL-13,KSRS-13,,,,
02/05-2/11,SWIFT RS415,KSRL-39SL,,,KSRL-19,KPRL-07,,,,
3/11 ON,SWIFT AZH414,KSFL-59,,,KSRL-19,KPRL-07,,,,
07 ON,SX4 GYB AWD,KSFL-48,,,KSRL-49,,,,,
TOYOTA,,,,,,,,,,
2012 ON,86 GTS,KTFL-122,,,KTRL-123,,,,,
2006-2012,AURION 40 SERIES,KTFL-63,KTFS-63,,KTRL-61,KTRS-61,,,,
2012,AURION 50 SERIES,KTFL-124,KTFS-124,,KTRL-125,KTRS-125,,,,
00-05,AVALON MCX10R,KTFL-103,,,KTRL-61SP,KTRS-104,,,,
83-86,CAMRY SEDAN SV 10 11,KCFL-21,KCFS-21,,KTRL-86,KTRS-36,KTRL-78,,,
87-92,CAMRY SEDAN SV 20 21 22,KTFL-53,KTFS-53,,KTRL-86,KTRS-36,KTRL-78,,,
87-92,CAMRY WAGON SV 21 22,KTFL-53,KTFS-53,,KTRL-78,KTRS-78,KTRS-78HD,,,
2/93-7/97,CAMRY SEDAN SDV10 4CYL,KTFL-60SL,KTFS-60,,KTRL-61,KTRS-61,,,,
2/93-7/97,CAMRY SEDAN SDV10 6CYL,KTFL-63SL,KTFS-60,,KTRL-61,KTRS-61,,,,
8/97-8/02,CAMRY SEDAN V20 4CYL,KTFL-63SL,KTFS-63,KTFR-63,KTRL-61,KTRS-61,,,,
8/97-8/02,CAMRY SEDAN V20 6CYL,KTFL-63,KTFS-63,KTFR-63,KTRL-61,KTRS-61,,,,
10/02-06/06,CAMRY SEDAN ACV36R 4CYL,KTFL-63,KTFS-63,KTFR-63,KTRL-61,KTRS-61,,,,
10/02-06/06,CAMRY SEDAN MCV36R 6CYL,KTFL-103,,,KTRL-61,KTRS-61,,,,
07/06-2011,CAMRY SEDAN 40 SERIES,KTFL-63SL,,,KTRL-61,,,,,
2012,CAMRY SEDAN 50 SERIES,KTFL-128,,,KTRL-129,,,,,
71-76,CELICA TA20-22,KTFL-10,KTFS-10,,KTRL-11,KTRS-11,,,,
78-82,CELICA RA40,KTFL-14,KTFS-14,,KTRL-15,KTRS-15,,,,
11/81-9/83,CELICA RA60,KTFL-26,KTFS-26,,KTRL-15,KTRS-15,,,,
10/83-10/85,CELICA SA63 RA65,KTFL-26,KTFS-26,,KTRL-48,KTRS-48,,,,
12/89-1/94,CELICA ST 184 185,KTFL-51,KTFS-51,,KTRL-86,KTRS-36,,,,
2/94-10/99,CELICA ST 204 205,KTFL-51SP,,,KTRL-86,KTRS-36,,,,
11/99-05,CELICA ZZT 230,KTFL-98,,,KTRL-99,,,,,
75-81,COROLLA KE 30-55,KFFL-15,KFFS-15,,,,,,,
81-85,COROLLA AE 70 KE70,KFRL-16,KTFS-29,,KTRL-34,KTRS-30,,,,
85-5/89,COROLLA AE 80 82 SINGLE CAM,KDRL-50,KTFS-80,,KTRL-52,KTRL-86,,,,
86-5/89,COROLLA AE 82 TWIN CAM,KTFL-45,KTFS-45,,KTRL-52,KTRL-86,,,,
83-86,COROLLA AE 86 SPRINTER,KTFL-33,KTFS-33,,KTRL-34,KTRS-30,,,,
6/89-8/94,COROLLA AE 92 93 94,KTFL-45,KTFS-45,,KTRL-86,KTRS-36,,,,
9/94-11/01,COROLLA AE 101 102 112,KTFL-45,KTFS-45,,KTRL-82,KTRS-82,,,,
12/01-4/07,COROLLA ZZE122,KTFL-105,,,KTRL-106,KTRS-106,,,,
5/07 ON,COROLLA ZRE152R ZRE182,KTFL-119,,,KTRL-120,KTRS-120,,,,
10/79-7/83,CORONA XT130 RT132,KTFL-14,KTFS-14,,KTRL-15,KTRS-15,,,,
8/83-87,CORONA ST 141 SEDAN,KTFL-26A,KTFS-26,,KTRL-15,KTRS-15,,,,
8/83-87,CORONA ST 141 WAGON,KTFL-26A,KTFS-26,,KTRL-25,KTRS-25,,,,
10/88-93,CRESSIDA MX 83,KTFL-76,KTFS-76,,KTRL-77,KTRS-77,,,,
99-05,ECHO NCP10R NCP12R,KTFL-96,,,KTRL-97,,,,,
03-4/07,KLUGER MCU20R,KTFL-111,,KTFR-111,KTRL-112,,KTRR-112,,,
5/07 ON,KLUGER GSU 40 FWD,,,KTFR-132,,,KTRR-133,,,
5/07 ON,KLUGER GSU 45 AWD,,,KTFR-132SP,,,KTRR-133,,,
90-8/91,LANDCRUISER 80 SER,,,KTFS-69,KTFR-69,,KTRS-70,KTRR-70,,
9/91-06,LANDCRUISER 80 100 SER,,KTFS-94,KTFS-69,,KTRS-95,KTRS-70,,,
07 ON,LANDCRUISER 200 SER,KTFL-130,KTFS-130,KTFR-130,KTRL-131,KTRS-131,KTRR-131,,,
96-03,LANDCRUISER PRADO 90,KTFL-58,KTFS-58,KTFR-58,KTRL-59,KTRS-59,KTRR-59,,,
2/03 ON,LANDCRUISER PRADO 120 150,KTFS-58,KTFS-101,KTFR-101,KTRL-102,KTRS-102,KTRR-102,,,
85-89,MR2 AW 11,KTFL-83,,,KTRL-86,,,,,
1/90-12/99,MR2 SW 20,KTFL-87,,,KTRL-11,KHRS-07,,,,
94-6/00,RAV4 SWB SXA10R,KTFL-43,,KTFR-43,KTRL-44,,KFFL-03,,,
7/00-05,RAV4 SWB LWB ACA20R,KTFL-43,,KTFR-43,KTRL-46,,KTRR-46,,,
1/06 ON,RAV4 LWB ACA33R,KTFL-117,,KTFR-117,KTRL-118,,KTRR-118,,,
83-88,SUPRA MA 61,KTFL-31,KTFS-31,,KTRL-27,KTRS-27,,,,
86-92,SUPRA MA 70 71,KTFL-24,KTFS-24,,KTRL-71,KTRS-71,,,,
93-98,SUPRA JZA80,KTFL-72,KTFL-109,,KTRL-73,KDFL-116,,,,
96-99,STARLET EP 90 91,KTFL-54,,,KTRL-55,KTRS-55,,,,
10/05 ON,YARIS NCP90R NCP91R,KTFL-19,,,KTRL-55,KTRS-55,,,,
TRIUMPH,,,,,,,,,,
64-75,2000 MK 1,,KTFS-01,,,KTRS-02,,,,
69-77,2500 MKII,,KTFS-01,,,KTRS-03,,,,
69-77,STAG,,KTFS-01,,,KTRS-03,,,,
VW,,,,,,,,,,
2011 ON,AMAROK,,,KVFR-22,,,,,,
76-83,GOLF PETROL,KVFL-11,KVFS-11,,KVRL-12,KVRS-12,,,,
9/98-6/04,GOLF 4TH GEN,KVFL-16,,,KARL-14,,,,,
00-06,BEETLE 9C MY03,KVFL-16,,,KVRL-17,,,,,
02-08,TOUAREG,,KVFS-20,,,KVRS-21,,,,
8/04 ON,TRANSPORTER T5,,,KVFR-19,,,KVRR-18,,,
VOLVO,,,,,,,,,,
74-89,240 242 244 264,KVFL-04,KVFS-04,,KVRL-07,KVRS-02,,,,
74-89,240 245 265 WAGON,KVFL-04,KVFS-04,,KVRS-07,KVRS-05,,,,
82-93,740 760 940 LIVE AXLE,KVFL-08,KVFS-08,,KVRL-07SL,KVRL-07,,,,
82-93,740 760 940 IRS,KVFL-08,KVFS-08,,,KDRL-31,,,,
