make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Mazda,929,HB,Sedan,1984,1986,,2,74,,RWD,DB278,,,Std. 4-Wheel Disc
Mazda,6,GG,Sedan,2005,2008,Turbo,2.3,191,,AWD,DB1445,DB2418,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Wagon,2018,,Turbo,2.5,170,,FWD,DB2293,DB2425,,Other Products
Mazda,6,GH,Hatchback,2008,2012,MZR,2.5,125,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,GH,Sedan,2008,2012,MZR,2.5,125,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,GH,Wagon,2008,2012,MZR,2.5,125,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Sedan,2012,2018,,2.5,138,,FWD,DB2293,DB2294,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Wagon,2012,2018,,2.5,138,,FWD,DB2293,DB2294,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Sedan,2018,,,2.5,140,,FWD,DB2293,DB2425,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Wagon,2018,,,2.5,140,,FWD,DB2293,DB2425,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Sedan,2018,,,2.5,170,,FWD,DB2293,DB2425,,Std. 4-Wheel Disc
Mazda,929,HE,Sedan,1996,1998,,3,138,,RWD,,DB1222,,
Mazda,929,LA,Sedan,1979,1982,,2,66,,RWD,DB138,,,Std. Brake System
Mazda,929,HB,Coupe,1984,1987,i Turbo,2,88,,RWD,DB278,,,Std. 4-Wheel Disc
Mazda,929,HB,Coupe,1984,1987,i Turbo,2,89,,RWD,DB278,,,Std. 4-Wheel Disc
Mazda,929,HB,Sedan,1985,1987,i,2,88,GLX,RWD,DB278,,,Std. 4-Wheel Disc
Mazda,929,HC,Sedan,1987,1989,i,3,123,,RWD,,DB1112,,
Mazda,B-Series,PE,Ute,1977,1982,B1800,1.8,60,,RWD,DB40,,,Std. Brake System
Mazda,B-Series,UF,Platform/Chassis,1988,1991,B2200 i,2.2,68,,RWD,DB409,,,Other Products
Mazda,B-Series,UF,Ute,1988,1991,B2200 i,2.2,68,,RWD,DB409,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1996,1999,B2500,2.5,64,,AWD,DB1326,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Platform/Chassis,1988,1996,B2200 D,2.2,47,,RWD,DB409,,,Other Products
Mazda,B-Series,UF,Ute,1985,1996,B2200 D,2.2,47,,RWD,DB409,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1985,1988,B2000,2,62,,RWD,DB409,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1990,1999,12V,2.6,90,,AWD,DB1326,,,Other Products
Mazda,B-Series,UN,Ute,1999,2005,B2500,2.5,86,,AWD,DB1366,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Platform/Chassis,1999,2005,B2500,2.5,86,,AWD,DB1681,,,Other Products
Mazda,B-Series,UF,Platform/Chassis,1996,1999,B2500,2.5,64,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1996,1999,B2500,2.5,64,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Platform/Chassis,1999,2005,B2500,2.5,86,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Ute,1999,2006,B2500,2.5,86,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Platform/Chassis,1991,1999,B2600 i,2.6,92,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Ute,1999,2006,B2600 i,2.6,90,,AWD,DB1681,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Ute,1999,2006,B2600 i,2.6,92,,AWD,DB1681,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1987,1991,B2600,2.6,73,,AWD,DB409,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1987,1991,B2600,2.6,92,,AWD,DB409,,,Other Products
Mazda,B-Series,UF,Platform/Chassis,1990,1999,B2600 i,2.6,92,,AWD,DB1326,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Platform/Chassis,1999,2006,B2600 i,2.6,90,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UN,Platform/Chassis,1999,2006,B2600 i,2.6,92,,RWD,DB1366,,,Other Products
Mazda,B-Series,UN,Ute,1999,2006,B2600 i,2.6,92,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1990,1999,B2600 i,2.6,92,,AWD,DB1326,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1990,1999,B2600 i,2.6,92,,RWD,DB1322,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,MJ,Ute,2005,2006,B4000 i,4,154,,AWD,DB1681,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,MJ,Platform/Chassis,2005,2006,B4000 i,4,154,,RWD,DB1681,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,MJ,Ute,2005,2006,B4000 i,4,154,,RWD,DB1681,,,Std. Front Disc / Rear Drum Brake
Mazda,B-Series,UF,Ute,1989,1991,,2.6,91,,RWD,DB409,,,Other Products
Mazda,BT-50,TF,Platform/Chassis,2021,2025,TDi,1.9,110,,AWD,DB2533,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,TF,Ute,2021,2025,TDi,1.9,110,,AWD,DB2533,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,TF,Platform/Chassis,2021,2025,TDi,1.9,110,,RWD,DB2533,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,TF,Ute,2021,2025,TDi,1.9,110,,RWD,DB2533,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"CD, UN",Platform/Chassis,2006,2011,CDVi,2.5,105,,RWD,DB1366,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"B22, B32, UP, UR",Platform/Chassis,2011,2020,,2.2,110,,RWD,DB2074,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"B22, B32, UP, UR",Ute,2011,2015,,2.2,110,,RWD,DB2074,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"CD, UN",Platform/Chassis,2006,2011,CDVi,3,115,,RWD,DB1366,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"CD, UN",Ute,2006,2011,CDVi,3,115,,RWD,DB1366,,,Std. Front Disc / Rear Drum Brake
Mazda,BT-50,"CD, UN",Ute,2006,2013,,2.5,105,,RWD,DB1366,,,Other Products
Mazda,BT-50,TF,Platform/Chassis,2020,,,3,140,,AWD,DB2533,,,Std. Front Disc / Rear Drum Brake
