part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,X3,2008,2010,xDrive 25 i Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B25 A,N52 B25 AF,N52 B25 BF",160,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,X3,2008,2010,xDrive 25 i Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B25 A,N52 B25 AF,N52 B25 BF",160,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,X3,2008,2010,xDrive 30 d Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,E83,M57 D30 (306D3),160,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,X3,2008,2010,xDrive 30 d Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,E83,M57 D30 (306D3),160,No
DIN85LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,88,353,175,190,C Polarity STD Terminal,760,165,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,X3,2008,2010,xDrive 30 d Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,E83,M57 D30 (306D3),160,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,X3,2008,2010,xDrive 30 i Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B30 BF,N52 B30 A",200,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,X3,2008,2010,xDrive 30 i Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B30 BF,N52 B30 A",200,No
DIN85LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,105,351,175,190,C Polarity STD Terminal,900,190,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,X3,2008,2010,xDrive 30 i Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B30 BF,N52 B30 A",200,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,BMW,X3,2006,2008,2.5 si Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B25 A,N52 B25 AF,N52 B25 BF",160,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,BMW,X3,2006,2008,2.5 si Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B25 A,N52 B25 AF,N52 B25 BF",160,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,BMW,X3,2006,2008,2.5 si Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,E83,"N52 B25 A,N52 B25 AF,N52 B25 BF",160,No
