Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit
MAZDA,BT-50,B3000 BOSS,WEAT,4,3.0,D,TURBO DIESEL,2009-2011,K-11100,
MAZDA,BT-50,UP0Y,P4AT,4,2.2,D,,2011-ON,K-17010,FG-1002
MAZDA,FG-1002,MAZDA,BT-50,5,3.2,D,,2011-ON,K-17010,FG-1002
MAZDA,FG-1002,MAZDA,BT-50,4,2.2,D,TURBO DIESEL,,K-17010,FG-1002
MAZDA,FG-1002,MAZDA,BT-50,4,3.0,D,CRD TURBO,,K-17040,
MAZDA,BT-50,TFS40,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-17040,
MAZDA,JE V6 EGI,,,6,3.0,P,MPFI,1994-1996,K-17030,
MAZDA,JE,,,6,3.0,P,MPFI,1993-1999,K-17030,
MERCEDES BENZ,LV,SERIES 2,MAZDA,4,2.3,D,CRD,,K-18310,
MERCEDES BENZ,X250d,470,YS23DDTT,4,2.3,D,CRD,,K-18310,
MITSUBISHI,NK,4M40T,MITSUBISHI,4,,,MPFI,,K-10120,FG-1007
MITSUBISHI,FG-1007,,,,,D,DI,07/2013-2015,K-10120,
MITSUBISHI,,,,,2.8,D,TURBO DIESEL,1996-1997,K-10200,
MITSUBISHI,,,,4,2.8,D,TURBO DIESEL,1997-2000,K-10200,
MITSUBISHI,6G74,,,6,3.5,P,MPFI,2000-2002,K-10130,
MITSUBISHI,NM,4M41T,,4,3.2,D,TURBO DIESEL,2000-2002,K-10150,
MITSUBISHI,PAJERO,NM,4M40T,4,2.8,D,TURBO DIESEL,2000-2002,K-10150,
MITSUBISHI,PAJERO,NP,6G74,6,3.5,P,MPFI,2002-2004,K-10130,
MITSUBISHI,PAJERO,NP,6G75,6,3.8,P,MPFI,2003-2006,K-10130,
MITSUBISHI,PAJERO,NP,4M41T,4,3.2,D,TURBO DIESEL,2002-2006,K-10150,
MITSUBISHI,PAJERO,NP,4M41T,4,3.2,D,TURBO DIESEL,2005-2006,K-10150,
MITSUBISHI,PAJERO,NS,4M41T,4,3.2,D,TURBO DIESEL,2006-2008,K-10020,
MITSUBISHI,PAJERO,NT,4M41T,4,3.2,D,TURBO DIESEL,,K-10020,
MITSUBISHI,PAJERO,NW,4M41,4,3.2,D,,,K-10020,
MITSUBISHI,PAJERO,NX,4M41,4,3.2,D,,,K-10020,
MITSUBISHI,PAJERO SPORT,QE,4N15,4,2.4,D,CRD TURBO,,K-18330,
MITSUBISHI,TRITON,MK,6G72,6,3.0,P,MPFI,08/2000-2006,K-10160,
MITSUBISHI,TRITON,MK,6G72,6,3.0,P,MPFI,,K-10160,
MITSUBISHI,TRITON,MK,4M40T,4,2.8,D,TURBO DIESEL,1996-2006,K-10200,
MITSUBISHI,TRITON,ML,4M41T,4,3.2,D,MPFI,,K-10030,FG-1007
MITSUBISHI,FG-1007,MITSUBISHI,TRITON,4,2.5,D,,,K-10120,FG-1007
MITSUBISHI,FG-1007,MITSUBISHI,TRITON,6,3.5,P,MPFI,,K-10140,
MITSUBISHI,TRITON,ML,4G64,4,2.4,P,MPFI,2007-2009,K-10300,
MITSUBISHI,TRITON,MN,4D56,4,2.5,D,MPFI,,K-10120,
MITSUBISHI,TRITON,MN,4G64,4,2.4,P,MPFI,2008-2015,K-10300,
MITSUBISHI,TRITON,MQ,4N15,4,2.4,D,DI,,K-18330,FG-1008
MITSUBISHI,FG-1008,MITSUBISHI,TRITON,4,2.4,D,DI,,K-18330,FG-1008
NISSAN,FG-1008,NISSAN,ELGRAND,4,3.0,D,TURBO,1999-2002,K-18070,
NISSAN,YD25DDT,NISSAN,NAVARA,4,2.5,D,TURBO DIESEL,2002-2009,K-18070,
NISSAN,NAVARA,"D23, NP300",YS23DDT,4,2.3,D,CRD TURBO,,K-18310,FG-2004
NISSAN,FG-2004,NISSAN,NAVARA,4,2.3,D,CRD TWIN TURBO,,K-18310,FG-2004
NISSAN,FG-2004,NISSAN,NAVARA,4,2.5,P,MPFI,,K-18320,
NISSAN,NAVARA,D40,YD25,4,2.5,D,TURBO DIESEL,2006-2012,K-18200,
NISSAN,NAVARA,D40,YD25,4,2.5,D,TURBO DIESEL,2008-2015,K-18230,
NISSAN,PATHFINDER,R51,YD25,4,2.5,D,,,K-18200,FG-2003
NISSAN,FG-2003,UP TO 2010,NISSAN,4,2.5,D,,,K-18200,
NISSAN,PATROL,GQ,TD42,6,4.2,D,TURBO DIESEL,1988-1999,K-18260,
NISSAN,PATROL,GQ,SERIES II,6,2.8,D,TURBO DIESEL,1993-1997,K-18220,FG-1008
TOYOTA,PATROL,GU IV,TD42T,6,,,,,K-18050,
TOYOTA,,,,,,,,12/1997-2000,K-18210,
TOYOTA,,,,,,,,02/2000-2003,K-18290,
TOYOTA,,,,,,,,01/1998-2000,K-18300,
TOYOTA,,,,,,,,2000-2007,K-18050,
TOYOTA,,,,,,,,04/2000-2001,K-18210,
TOYOTA,,,,,,D,,10/2001-2004,K-18050,
TOYOTA,10/2004-03/2007,,,,4.2,D,,,K-18270,
TOYOTA,10/2004-03/2007,,,4,3.0,D,MPFI,,K-18280,
TOYOTA,TB48DE,,,6,4.8,P,MPFI,09/2007-2012,K-18210,
TOYOTA,GU VI,ZD30D,09/2007-ON,4,3.0,D,MPFI,,K-18240,
TOYOTA,4 RUNNER,LN130,3L,4,2.8,D,DIESEL,10/1989-1996,K-11020,
TOYOTA,4 RUNNER,LN61,3L,4,2.8,D,DIESEL,,K-11020,
TOYOTA,4 RUNNER,LN61,2L,4,2.4,D,DIESEL,11/1985-1989,K-11020,
TOYOTA,FORTUNER,GUN156R,1GD-FTV,4,,D,CRD TURBO,2015-ON,K-11440,
TOYOTA,HIACE,GDH201R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH206R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH300R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH301R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH320R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH321R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,GDH322R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,
TOYOTA,HIACE,KDH201R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,
