part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
N70ZZHX MF,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,302,172,200,D Polarity STD Terminal,780,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,CERES,1997,2000,2.4 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,SC,53,No
N70ZZHX,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,305,171,202,D Polarity STD Terminal,730,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,CERES,1997,2000,2.4 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,SC,53,No
N70ZZH MF,"Hi Performance (Truck, Bus & Heavy Equipment)",12,90,305,171,202,D Polarity STD Terminal,780,160,12,"Truck, Bus & Heavy Equipment",Hi Performance,KIA,CERES,1997,2000,2.4 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,SC,53,No
N70ZZXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,D Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,KIA,CERES,1992,1997,2.2 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,S2,52,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CERES,1992,1997,2.2 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,S2,52,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CERES,1992,1997,2.2 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,S2,52,No
N70ZZXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,D Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,KIA,CERES,1992,1997,2.2 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,S2,52,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CERES,1992,1997,2.2 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,S2,52,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CERES,1992,1997,2.2 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,,S2,52,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,KIA,MENTOR,1999,2001,1.8 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,FB,TE,82,No
