part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,SIGMA SCORPION,1978,1979,2.0 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,GE,4G52,72,No
LN1 MF,Hybrid Auxiliary (Car & Passenger Vehicle),12,52,206,174,190,C Polarity STD Terminal,438,91,24,Car & Passenger Vehicles,Hybrid Auxiliary,MITSUBISHI,OUTLANDER,2022,2026,"2.4 Hybrid All-wheel Drive (GN0W, GM4W) Full Hybrid All-wheel Drive SUV",Full Hybrid,All-wheel Drive,SUV,"GM_W,GN_W,DG,CW_W,ZM",4B12,162,No
LN1 MF,Hybrid Auxiliary (Car & Passenger Vehicle),12,52,206,174,190,C Polarity STD Terminal,438,91,24,Car & Passenger Vehicles,Hybrid Auxiliary,MITSUBISHI,OUTLANDER,2022,2026,"2.4 Hybrid All-wheel Drive (ZM9, GN0W, GM4W) Plug-In Hybrid All-wheel Drive SUV",Plug-In Hybrid,All-wheel Drive,SUV,"GM_W,GN_W,DG,CW_W,ZM",4B12,185,No
DIN65LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,70,275,175,190,C Polarity STD Terminal,650,120,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MITSUBISHI,OUTLANDER,2021,2026,"2.5 (GM4W, ZM2) Petrol Front-Wheel Drive SUV",Petrol,Front-Wheel Drive,SUV,"GM_W,GN_W,DG,CW_W,ZM",PR25DD,135,No
DIN65LH EFB,ISS Active EFB MF (Car & Passenger Vehicle),12,70,275,175,190,C Polarity STD Terminal,650,120,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MITSUBISHI,OUTLANDER,2021,2026,"2.5 All-wheel Drive (GM4W, ZM4) Petrol All-wheel Drive SUV",Petrol,All-wheel Drive,SUV,"GM_W,GN_W,DG,CW_W,ZM",PR25DD,135,No
S46B24L(S),Hybrid Auxiliary (Car & Passenger Vehicle),12,45,236,126,200,C Polarity STD Terminal,325,68,24,Car & Passenger Vehicles,Hybrid Auxiliary,MITSUBISHI,OUTLANDER,2018,2022,2.4 Hybrid 4WD (GG3W) Plug-In Hybrid All-wheel Drive SUV,Plug-In Hybrid,All-wheel Drive,SUV,"GG_W,GF_W,ZJ,ZK,ZL",4B12,153,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,OUTLANDER,2012,2021,2.0 (GF7W) Petrol Front-Wheel Drive SUV,Petrol,Front-Wheel Drive,SUV,"GG_W,GF_W,ZJ,ZK,ZL",4J11,110,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,OUTLANDER,2012,2021,2.0 (GF7W) Petrol Front-Wheel Drive SUV,Petrol,Front-Wheel Drive,SUV,"GG_W,GF_W,ZJ,ZK,ZL",4J11,110,No
N70ZZLXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,C Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,MITSUBISHI,OUTLANDER,2012,2021,2.2 DI-D 4WD (GF6W) Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"GG_W,GF_W,ZJ,ZK,ZL",4N14,110,No
N70ZZLX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,C Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,MITSUBISHI,OUTLANDER,2012,2021,2.2 DI-D 4WD (GF6W) Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"GG_W,GF_W,ZJ,ZK,ZL",4N14,110,No
