part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,NSX,1997,2005,3.2 24V Vtec (NA2) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C32B2,206,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,NSX,1997,2005,3.2 24V Vtec (NA2) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C32B2,206,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,NSX,1995,2005,3.0 24V Vtec (NA1) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,NA,C30A3,201,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,NSX,1995,2005,3.0 24V Vtec (NA1) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,NA,C30A3,201,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,NSX,1995,2005,3.0 24V Vtec Automatic (NA1) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,NA,C30A4,188,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,NSX,1995,2005,3.0 24V Vtec Automatic (NA1) Petrol Rear-Wheel Drive Convertible,Petrol,Rear-Wheel Drive,Convertible,NA,C30A4,188,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,NSX,1990,2005,3.0 24V Vtec (NA1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C30A3,201,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,NSX,1990,2005,3.0 24V Vtec (NA1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C30A3,201,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,NSX,1990,2005,3.0 24V Vtec Automatik (NA1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C30A4,188,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,NSX,1990,2005,3.0 24V Vtec Automatik (NA1) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,NA,C30A4,188,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,N-WGN CUSTOM,2019,2026,0.7 (JH3) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,JH,S07B,47,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,N-WGN CUSTOM,2019,2026,0.7 (JH3) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,JH,S07B,43,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,N-WGN CUSTOM,2019,2026,0.7 4WD (JH4) Petrol All-wheel Drive Hatchback,Petrol,All-wheel Drive,Hatchback,JH,S07B,47,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,HONDA,N-WGN CUSTOM,2019,2026,0.7 4WD (JH4) Petrol All-wheel Drive Hatchback,Petrol,All-wheel Drive,Hatchback,JH,S07B,43,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,2004,2007,2.0 Type-S Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20Z1,154,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,2004,2007,2.0 Type-S Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20Z1,154,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,2002,2006,2.0 16V Type-R (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20Z1,162,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,2002,2006,2.0 16V Type-R (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20Z1,162,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,2001,2006,2.0 (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20A3,118,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,2001,2006,2.0 (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20A3,118,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,2001,2004,2.0 (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20A2,147,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,2001,2004,2.0 (DC5) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC5,K20A2,147,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1999,2001,1.8 Type-R (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,"B18C7,B18C6",140,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1999,2001,1.8 Type-R (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,"B18C7,B18C6",140,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1999,2001,DC Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,,B18C,141,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1999,2001,DC Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,,B18C,141,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1993,2001,1.8 (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18B1,101,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1993,2001,1.8 (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18B1,101,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1993,2001,1.8 (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18B2,107,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1993,2001,1.8 (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18B2,107,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1993,1999,1.8 VTiR (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18C2,125,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1993,1999,1.8 VTiR (DC2) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,DC,B18C2,125,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1989,1993,"1.6 (DA6, DA8) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,DA,B16A,125,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1989,1993,"1.6 (DA6, DA8) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,DA,B16A,125,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1989,1993,1.8 (DA9) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DA,B18A1,96,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1989,1993,1.8 (DA9) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DA,B18A1,96,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,INTEGRA,1986,1989,"1.6 (DA1, DA3) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,DA,D16A3,88,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HONDA,INTEGRA,1986,1989,"1.6 (DA1, DA3) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,DA,D16A3,88,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,HONDA,MDX,2003,2007,3.5 (YD1) Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,YD,J35A5,191,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,HONDA,MDX,2003,2007,3.5 (YD1) Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,YD,J35A5,191,No
N55R MF,ISS Active EFB MF (Car & Passenger Vehicle),12,55,236,127,199,D Polarity SP Terminal,460,80,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,HONDA,ODYSSEY,2016,2026,"2.0 Hybrid (RC4, RC5) Full Hybrid Front-Wheel Drive MPV",Full Hybrid,Front-Wheel Drive,MPV,"RC1,RC2,RC4",LFA-H4,107,No
NS60 MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity SP Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,2016,2026,"2.0 Hybrid (RC4, RC5) Full Hybrid Front-Wheel Drive MPV",Full Hybrid,Front-Wheel Drive,MPV,"RC1,RC2,RC4",LFA-H4,107,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,HONDA,ODYSSEY,2013,2021,2.4 i-VTEC (RC1) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RC1,RC2,RC4",K24W7,129,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,HONDA,ODYSSEY,2013,2021,2.4 i-VTEC (RC1) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RC1,RC2,RC4",K24W7,129,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,ODYSSEY,2009,2013,2.4 (RB3) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RL1,RA_,RA6",K24Z2,132,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,2009,2013,2.4 (RB3) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RL1,RA_,RA6",K24Z2,132,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,ODYSSEY,2004,2009,2.4 (RB1) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RL1,RA_,RA6",K24A6,118,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,2004,2009,2.4 (RB1) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RL1,RA_,RA6",K24A6,118,No
NS60L MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity SP Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,2004,2009,2.4 (RB1) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,"RL1,RA_,RA6",K24A6,118,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,ODYSSEY,2000,2004,3.0 (RA8) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,RA,J30A1,154,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,2000,2004,3.0 (RA8) Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,RA,J30A1,154,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,HONDA,ODYSSEY,1999,2004,RA Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,RA_,F23Z4,110,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,HONDA,ODYSSEY,1999,2004,RA Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,RA_,F23Z4,110,No
