part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1989,1991,"1.6 (BG6S, BG6P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,B6E,62,No
NS40ZLSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity STD Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,121,1994,1997,1.5 i (DB5PA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,B5C4,62,No
NS40ZLS MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity STD Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1994,1997,1.5 i (DB5PA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,B5C4,62,No
43,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,C Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1994,1997,1.5 i (DB5PA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,B5C4,62,No
NS60LSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,C Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,121,1990,1997,1.3 i 16V (DB3PA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,B3C9,53,No
NS60LS MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,C Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1990,1997,1.3 i 16V (DB3PA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,DB,B3C9,53,No
NS40ZLSX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,42,195,127,200,C Polarity STD Terminal,400,70,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,121,1987,1991,1.3 (DA103) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DA,B3,44,No
NS40ZLS MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,C Polarity STD Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1987,1991,1.3 (DA103) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,DA,B3,44,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1979,1981,2.0 (CD3M) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,CD,MA,61,No
NS40Z MF,Hi Performance (Car & Passenger Vehicle),12,38,195,127,200,D Polarity SP Terminal,360,63,30,Car & Passenger Vehicles,Hi Performance,MAZDA,121,1976,1979,1.8 (CD2V) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,CD,,61,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2019,2026,2.0 SKYACTIV-X M Hybrid (BP2S) Mild Hybrid Front-Wheel Drive Sedan,Mild Hybrid,Front-Wheel Drive,Sedan,BP_,HFY1,132,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2019,2026,2.0 SKYACTIV-X M Hybrid (BP2S) Mild Hybrid Front-Wheel Drive Sedan,Mild Hybrid,Front-Wheel Drive,Sedan,BP_,HFY1,132,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2019,2026,2.5 SKYACTIV-G (BP2H) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BP,"PY-VPS,PYZ8,PYZC",139,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2019,2026,2.5 SKYACTIV-G (BP2H) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BP,"PY-VPS,PYZ8,PYZC",139,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2019,2026,2.5 SKYACTIV-G (BP2S) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BP_,"PY-VPS,PYZ8,PYZC",139,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2019,2026,2.5 SKYACTIV-G (BP2S) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BP_,"PY-VPS,PYZ8,PYZC",139,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2019,2026,SKYACTIV-X M Hybrid (BP2H) Mild Hybrid Front-Wheel Drive Hatchback,Mild Hybrid,Front-Wheel Drive,Hatchback,BP,HFY1,132,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2019,2026,SKYACTIV-X M Hybrid (BP2H) Mild Hybrid Front-Wheel Drive Hatchback,Mild Hybrid,Front-Wheel Drive,Hatchback,BP,HFY1,132,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2018,2026,2.0 SKYACTIV-G (BP2H) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BP,"PEXP,PE-VPS,PEXN",114,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2018,2026,2.0 SKYACTIV-G (BP2H) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BP,"PEXP,PE-VPS,PEXN",114,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2018,2026,2.0 SKYACTIV-G (BP2S) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BP_,"PEXP,PE-VPS,PEXN",114,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2018,2026,2.0 SKYACTIV-G (BP2S) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BP_,"PEXP,PE-VPS,PEXN",114,No
S46B24R,Hybrid Auxiliary (Car & Passenger Vehicle),12,45,238,128,202,D Polarity SP Terminal,325,68,24,Car & Passenger Vehicles,Hybrid Auxiliary,MAZDA,3,2014,2019,2.0 Hybrid (BYEFP) Full Hybrid Front-Wheel Drive Sedan,Full Hybrid,Front-Wheel Drive,Sedan,"BN_,BM_",PE-VPH,100,No
S95,ISS Active EFB (Car & Passenger Vehicle),12,68,260,173,202,C Polarity STD Terminal,760,127,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2014,2019,"2.2 D (BM2FS, BM542) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,"BN,BM",SHY4,129,No
S95 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,70,258,172,199,C Polarity STD Terminal,680,130,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2014,2019,"2.2 D (BM2FS, BM542) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,"BN,BM",SHY4,129,No
