part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1977,1979,330 2.8 280C (WP330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,,108,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1977,1979,330 2.8 280C (WP330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,,108,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1977,1979,330 2.8 280C (WP330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,L28,99,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1977,1979,330 2.8 280C (WP330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,L28,99,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,260C,1975,1978,330 2.6 (KH300) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,330,L26,103,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,260C,1975,1978,330 2.6 (KH300) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,330,L26,103,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,260C,1975,1978,330 2.6 (WH330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,L26,103,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,260C,1975,1978,330 2.6 (WH330) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,330,L26,103,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,260Z,1974,1979,S30 2.6 2+2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S30,L26,119,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,260Z,1974,1979,S30 2.6 2+2 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S30,L26,119,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,DATSUN,300C,1984,1988,Y30 3.0 i Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,Y30,VG30E,113,No
