part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,WRANGLER,2017,2020,"2.2 Multijet II (JL72, JL74) Diesel All-wheel Drive ",Diesel,All-wheel Drive,,JL,EBH,147,No
DIN65LHHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,70,275,175,190,C Polarity STD Terminal,650,120,30,"SUV, 4x4 & Light Commercial",Overlander 4x4,JEEP,WRANGLER,2011,2018,3.6 V6 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,ERB,209,No
DIN65LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,77,277,175,190,C Polarity STD Terminal,760,145,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,JEEP,WRANGLER,2011,2018,3.6 V6 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,ERB,209,No
DIN65LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,75,277,175,190,C Polarity STD Terminal,650,130,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,WRANGLER,2011,2018,3.6 V6 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,ERB,209,No
D31A,Yellow Top (Optima),12,75,324,165,237,H Polarity STD Terminal,900,155,36,Optima,Yellow Top,JEEP,WRANGLER,2010,2018,2.8 CRD Diesel All-wheel Drive ,Diesel,All-wheel Drive,,JK,ENS,147,No
D34,Yellow Top (Optima),12,55,254,173,199,D Polarity STD Terminal,750,120,36,Optima,Yellow Top,JEEP,WRANGLER,2007,2012,3.8 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,EGT,146,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,WRANGLER,2007,2012,3.8 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,EGT,146,No
NS70X MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,D Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,JEEP,WRANGLER,2007,2012,3.8 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,JK,EGT,146,No
D31A,Yellow Top (Optima),12,75,324,165,237,H Polarity STD Terminal,900,155,36,Optima,Yellow Top,JEEP,WRANGLER,2007,2011,2.8 CRD Diesel All-wheel Drive ,Diesel,All-wheel Drive,,JK,ENS,130,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,WRANGLER,2003,2007,4.0 Rubicon Petrol All-wheel Drive ,Petrol,All-wheel Drive,,TJ,ERH,128,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,WRANGLER,1998,2007,4.0 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,TJ,ERH,124,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,WRANGLER,1996,2007,4.0 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,TJ,ERH,130,No
DIN53R MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,D Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,WRANGLER,1996,2007,4.0 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,TJ,S01,130,No
D34,Yellow Top (Optima),12,55,254,173,199,D Polarity STD Terminal,750,120,36,Optima,Yellow Top,JEEP,WRANGLER,1991,1996,4.0 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"YJ,SJ_",ERH,131,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,WRANGLER,1991,1996,4.0 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"YJ,SJ_",ERH,131,No
D34,Yellow Top (Optima),12,55,254,173,199,D Polarity STD Terminal,750,120,36,Optima,Yellow Top,JEEP,WRANGLER,1986,1990,4.0 2WD Petrol Rear-Wheel Drive ,Petrol,Rear-Wheel Drive,,"YJ,SJ_",M400L,131,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,WRANGLER,1986,1990,4.0 2WD Petrol Rear-Wheel Drive ,Petrol,Rear-Wheel Drive,,"YJ,SJ_",M400L,131,No
D34,Yellow Top (Optima),12,55,254,173,199,D Polarity STD Terminal,750,120,36,Optima,Yellow Top,JEEP,WRANGLER,1986,1990,4.0 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"YJ,SJ_",M400L,131,No
34,Red Top (Optima),12,50,254,173,199,D Polarity STD Terminal,800,100,36,Optima,Red Top,JEEP,WRANGLER,1986,1990,4.0 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"YJ,SJ_",M400L,131,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2017,2021,6.2 i V8 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2",ESD,522,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2016,2021,3.6 VVT 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2","ERC,ERB",213,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2016,2021,3.6 VVT 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2","ERC,ERB",213,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2013,2021,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",184,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2013,2021,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",184,No
YTX14H-BS,Hi Performance AGM,12,12,150,87,145,D Polarity A Terminal,200,,18,Powersports,Hi Performance AGM,JEEP,GRAND CHEROKEE,2013,2021,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",184,Yes
YTX14-BS,Maintenance Free AGM,12,12,150,87,145,D Polarity A Terminal,180,,18,Powersports,Maintenance Free AGM,JEEP,GRAND CHEROKEE,2013,2021,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",184,Yes
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2011,2021,6.4 SRT8 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2",ESG,344,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2010,2021,5.7 V8 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2",EZH,259,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2010,2021,5.7 V8 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2",EZH,259,No
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2010,2018,3.6 VVT Petrol Rear-Wheel Drive SUV,Petrol,Rear-Wheel Drive,SUV,"WK,WK2","ERC,ERB",213,No
