Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit,_skip_reason
NISSAN,PATROL,GQ,TD42,6,4.2,D,TURBO DIESEL,1988-1999,K-18260,,Model looks like engine code
NISSAN,PATROL,GQ,SERIES II,6,2.8,D,TURBO DIESEL,1993-1997,K-18220,FG-1008,Model looks like engine code
TOYOTA,PATROL,GU IV,TD42T,6,,,,,K-18050,,No valid year range
TOYOTA,,,,,,,,12/1997-2000,K-18210,,No model
TOYOTA,,,,,,,,02/2000-2003,K-18290,,No model
TOYOTA,,,,,,,,01/1998-2000,K-18300,,No model
TOYOTA,,,,,,,,2000-2007,K-18050,,No model
TOYOTA,,,,,,,,04/2000-2001,K-18210,,No model
TOYOTA,,,,,,D,,10/2001-2004,K-18050,,No model
TOYOTA,10/2004-03/2007,,,,4.2,D,,,K-18270,,No valid year range
TOYOTA,10/2004-03/2007,,,4,3.0,D,MPFI,,K-18280,,No valid year range
TOYOTA,TB48DE,,,6,4.8,P,MPFI,09/2007-2012,K-18210,,Model looks like engine code
TOYOTA,GU VI,ZD30D,09/2007-ON,4,3.0,D,MPFI,,K-18240,,No valid year range
TOYOTA,4 RUNNER,LN61,3L,4,2.8,D,DIESEL,,K-11020,,No valid year range
TOYOTA,FORTUNER,GUN156R,1GD-FTV,4,,D,CRD TURBO,2015-ON,K-11440,,Model looks like engine code
TOYOTA,HIACE,GDH201R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH206R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH300R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH301R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH320R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH321R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,GDH322R,1GD-FTV,4,2.8,D,CRD TURBO,,K-11530,,No valid year range
TOYOTA,HIACE,KDH201R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,,No valid year range
TOYOTA,HIACE,KDH221R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,,No valid year range
TOYOTA,HIACE,KDH223R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,,No valid year range
TOYOTA,HILUX,GGN120R,1GR-FE,6,4.0,P,MPFI,,K-11420,,No valid year range
TOYOTA,HILUX,GGN15,1GR-FE,6,4.0,P,,2005-ON,K-11210,,Model looks like engine code
TOYOTA,HILUX,GGN25,1GR-FE,6,4.0,P,,2005-ON,K-11210,,Model looks like engine code
TOYOTA,HILUX,GUN122R,2GDFTV,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009,No valid year range
TOYOTA,FG-1009,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,HILUX,KUN26,1KD-FTV,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004,No valid year range
