reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2004,2007,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B",95
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2004,2007,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 BD,N46 B20 C",110
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2004,2007,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 BD,N46 B20 C",110
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2004,2007,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 BD,N46 B20 C",110
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1970,1972,"2000 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B18",66
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1970,1972,"2000 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B18",66
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1969,1972,"2000 Tii Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",96
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1969,1972,"2000 Tii Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",96
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1968,1972,"2000 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",74
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1968,1972,"2000 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",74
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1966,1972,"2000 Ti / Tilux Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",88
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1966,1972,"2000 Ti / Tilux Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20",88
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1969,1971,"1800 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B18",66
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1969,1971,"1800 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B18",66
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1963,1969,"1800 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",66
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1963,1969,"1800 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",66
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1964,1968,"1600 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 (16A)",61
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1964,1968,"1600 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 (16A)",61
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1963,1968,"1800 Ti (TISA) Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",96
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1963,1968,"1800 Ti (TISA) Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",96
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1963,1968,"1800 Ti Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",81
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1963,1968,"1800 Ti Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M118",81
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1963,1966,"1500 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 (16A)",59
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1963,1966,"1500 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 (16A)",59
"No matching vehicle found in DB",DIN53LHX MF,BMW,"1500-2000",1962,1966,"1500 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B15",59
"No matching vehicle found in DB",DIN53LH MF,BMW,"1500-2000",1962,1966,"1500 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B15",59
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2021,2026,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 A",135
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2021,2026,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 A",135
"No matching vehicle found in DB",DIN110LHAGM,BMW,"2",2021,2026,"230 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 B",190
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2021,2026,"M240 i xDrive Petrol All-wheel Drive Coupe",Petrol,Coupe,"B58 B30 B",275
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2020,2026,"220 i Petrol Front-Wheel Drive Coupe",Petrol,Coupe,"B48 A20 A,B48 A20 C,B48 A20 F",141
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2019,2026,"218 i Petrol Front-Wheel Drive Coupe",Petrol,Coupe,"B38A15F,B38 A15 A",103
"No matching vehicle found in DB",DIN65LH AGM,BMW,"2",2019,2026,"M 235 i xDrive Petrol All-wheel Drive Coupe",Petrol,Coupe,"B48 A20 E",225
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2019,2021,"M2 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"S55 B30 A",331
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2018,2021,"M2 Competition Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"S55 B30 A",302
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2018,2021,"M2 Competition Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"S55 B30 A",302
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2017,2021,"225 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 A",135
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2015,2021,"220 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B48 B20 A",135
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2015,2021,"220 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B48 B20 A",135
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2015,2021,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 A",135
