reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",N70ZZ MF,ASTON MARTIN,"DB5",1962,1965,"4.0 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"",210
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AE31",515
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AE31",515
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AE31",515
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AE31",515
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AE31",515
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2021,2026,"V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AE31",515
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2021,2026,"V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"M 177.950",393
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2021,2026,"V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M 177.950",393
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2020,2026,"V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"M 177.980,M 177.950",375
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2017,2026,"V12 AMR Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",433
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2017,2026,"V12 AMR Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",433
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2017,2026,"V12 AMR Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",433
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2017,2026,"V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M 177.980,M 177.950",375
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2014,2018,"6.0 V12S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM28",421
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2014,2018,"6.0 V12S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM28",421
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2014,2018,"6.0 V12S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM28",421
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2013,2017,"6.0 V12S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",421
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2013,2017,"6.0 V12S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",421
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2013,2017,"6.0 V12S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM28",421
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2012,2017,"6.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM10",380
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM15",321
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM15",321
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 S Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM15",321
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 V8S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM15",321
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 V8S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM15",321
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2011,2017,"4.7 V8S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM15",321
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2008,2016,"4.7 V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM14,AM07",313
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2009,2013,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM10",380
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2009,2013,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM10",380
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2009,2013,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM10",380
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2007,2008,"4.3 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2007,2008,"4.3 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2007,2008,"4.3 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VANTAGE",2005,2008,"4.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VANTAGE",2005,2008,"4.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VANTAGE",2005,2008,"4.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM05,AM6U5",283
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"ZAGATO",2012,2012,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",380
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",365
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",365
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",365
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",365
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",365
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"VIRAGE",2011,2012,"6.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",365
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"VIRAGE",1996,2000,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HG4",257
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"VIRAGE",1996,2000,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HG4",257
"No matching vehicle found in DB",DIN65LHX MF,ASTON MARTIN,"VIRAGE",1995,2000,"5.3 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"40HTE",261
