reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"VITARA",1999,2002,"1.6 16V (TA03, SE416) Petrol All-wheel Drive",Petrol,,"G16B",69
"No matching vehicle found in DB",NS40ZS MF,SUZUKI,"SJ410",1981,1988,"1.0 (SJ410) Petrol All-wheel Drive",Petrol,,"F10A",33
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"SUPER CARRY",1985,1992,"1.0 (SK410) Petrol Rear-Wheel Drive Van",Petrol,Van,"F10A",33
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"SUPER CARRY",1985,1992,"1.0 (SK410) Petrol Rear-Wheel Drive Van",Petrol,Van,"F10A",33
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SUPER CARRY",1985,1990,"1.0 (SK410) Petrol Rear-Wheel Drive Bus",Petrol,Bus,"F10A",33
"No matching vehicle found in DB",NS40ZLB MF,SUZUKI,"WAGON R",1992,1997,"0.7 Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"F6AB",41
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SPACIA",2017,2026,"0.7 Hybrid (MK53S) Mild Hybrid Front-Wheel Drive MPV",Mild Hybrid,MPV,"R06A",38
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SPACIA",2017,2026,"0.7 Hybrid (MK53S) Mild Hybrid Front-Wheel Drive MPV",Mild Hybrid,MPV,"R06A-T",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SPACIA",2017,2026,"0.7 Hybrid 4WD (MK53S) Mild Hybrid All-wheel Drive MPV",Mild Hybrid,MPV,"R06A",38
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SPACIA",2017,2026,"0.7 Hybrid 4WD (MK53S) Mild Hybrid All-wheel Drive MPV",Mild Hybrid,MPV,"R06A-T",47
"No matching vehicle found in DB",NS40ZLSX MF,SUZUKI,"X-90",1996,1997,"1.6 i 16V 4x4 (SZ416) Petrol All-wheel Drive",Petrol,,"G16B",71
"No matching vehicle found in DB",NS40ZLS MF,SUZUKI,"X-90",1996,1997,"1.6 i 16V 4x4 (SZ416) Petrol All-wheel Drive",Petrol,,"G16B",71
