brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHEVROLET,CAMARO,09/15,>,6.2,09/15,>,339,461,UPGRADE GT kit,GT | M4 | D,2P1.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,09/15,>,339,461,UPGRADE GT kit,GT | M4 | TY1,2P2.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,09/15,>,339,461,UPGRADE GT kit,GT | M4 | TY3,2P3.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,09/15,>,339,461,UPGRADE GT kit,GT | M4 | D,2P4.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,09/15,>,339,461,UPGRADE GT kit,GT | M4 | TY1,2P5.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake discs,Prime,09.N287.21,345mm,30mm,61mm,,5,Ventilated,68mm,27mm,,1,,,,,,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime,P 10 064,,16mm,97mm,132mm,,,,,,,Brembo,Acoustic,25915,D1474 8673,With accessoriesWith anti-squeal shimWith counterweights,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime Ceramic,P10064N,,16mm,97mm,132mm,,,,,,,Brembo,Acoustic,25915,D1474 8673,With accessoriesWith anti-squeal shimWith counterweights,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime,P 59 079,,16mm,78mm,132mm,,,,,,,Brembo,Acoustic,23325,"D1001 7902, D1050 7953, D1050 8526, D1836 9065",With accessoriesWith anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime Ceramic,P59079N,,16mm,78mm,132mm,,,,,,,Brembo,Acoustic,23325,"D1001 7902, D1050 7953, D1050 8526, D1836 9065",With accessoriesWith anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime,P 37 018,,15mm,93mm,190mm,,,,,,,Brembo,Acoustic,"25849, 25859","D1382 9040, D1405 8513, D1405 9037",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime Ceramic,P37018N,,15mm,93mm,190mm,,,,,,,Brembo,Acoustic,"25849, 25859","D1382 9040, D1405 8513, D1405 9037",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime,P 09 025,,17mm,45mm,115mm,,,,,,,,Acoustic,"25846, 25847, 25848","D1659 8886, D1839 8886",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,Brake pads,Prime Ceramic,P09025N,,17mm,45mm,115mm,,,,,,,,Acoustic,"25846, 25847, 25848","D1659 8886, D1839 8886",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | D,1L4.8018A_,355mm,32mm,,,,,,,,,,,,,,,6,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | TY1,1L5.8018A_,355mm,32mm,,,,,,,,,,,,,,,6,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | D,1N1.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | TY1,1N2.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | TY3,1N3.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | D,1N1.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | TY1,1N2.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M6 | TY3,1N3.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
