brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FERRARI,512 M,11/94,08/96,4.9,11/94,08/96,324,440,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,512 TR,01/92,10/94,4.9,01/92,10/94,315,428,Brake discs,Prime,09.5182.10,310mm,28mm,90mm,,5,Ventilated,67mm,25mm,,1,,,,,,
FERRARI,512 TR,01/92,10/94,4.9,01/92,10/94,315,428,Brake pads,Prime Ceramic,P06002N,,15mm,71mm,90mm,,,,,,,Teves,Prepared for wear indicator,20437,"D163 7015, D163 7090, D74 7001",With anti-squeal shim,
FERRARI,512 TR,01/92,10/94,4.9,01/92,10/94,315,428,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,512 TR,01/92,10/94,4.9,01/92,10/94,315,428,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M6 | D,1N1.9012A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M6 | TY1,1N2.9012A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M6 | TY3,1N3.9012A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M4 | D,2P1.9017A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M4 | TY1,2P2.9017A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,550 BARCHETTA,10/00,01/05,5.5,10/00,01/05,357,486,UPGRADE GT kit,GT | M4 | TY3,2P3.9017A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,Brake pads,Prime,P 85 116,,16mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,24098,D1600 8814,With anti-squeal shim,,,,
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,Brake pads,Prime Ceramic,P85116N,,16mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,24098,D1600 8814,With anti-squeal shim,,,,
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,Brake pads,Xtra Ceramic,P85116NX,,16mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,24098,D1600 8814,With anti-squeal shim,,,,
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M6 | D,1N1.9021A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M6 | TY1,1N2.9021A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M6 | TY3,1N3.9021A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M4 | D,2P1.9031A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M4 | TY1,2P2.9031A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,612 SCAGLIETTI,04/04,06/11,5.7,04/04,06/11,397,540,UPGRADE GT kit,GT | M4 | TY3,2P3.9031A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
FERRARI,DINO GT4 (208/308),02/73,06/80,208,02/75,06/80,125,170,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,DINO GT4 (208/308),02/73,06/80,208,02/75,06/80,125,170,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,DINO GT4 (208/308),02/73,06/80,308,02/74,06/80,188,255,Brake discs,Prime,09.3800.10,272mm,22mm,78mm,,5,Ventilated,58mm,20mm,,2,,,,,,
FERRARI,DINO GT4 (208/308),02/73,06/80,308,02/74,06/80,188,255,Brake discs,Prime,09.3799.10,277mm,20mm,73mm,,5,Ventilated,67mm,18mm,,2,,,,,,
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,Brake discs,Prime,09.4966.10,310mm,24mm,77mm,,5,Ventilated,67mm,22mm,,2,,,,,,,,,
