brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,length,number_of_pistons
IVECO,DAILY III Van,05/99,10/09,50 C 15,01/01,04/06,107,146,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,Wear indicator,01/01,04/06,107,146,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm,
IVECO,DAILY III Van,05/99,10/09,50 C 15,01/01,04/06,107,146,LCV calipers,,F BR 032B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 15,01/01,04/06,107,146,LCV calipers,,F BR 033B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 15,01/01,04/06,107,146,LCV calipers,,F BR 100B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 15,01/01,04/06,107,146,LCV calipers,,F BR 101B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,,
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,,
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,Brake pads,Prime,P A6 017,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,Wear indicator,09/04,04/06,122,166,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm,
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,LCV calipers,,F BR 032B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,LCV calipers,,F BR 033B,,,,,,,,,,,BREMBO,,,,,,,2
IVECO,DAILY III Van,05/99,10/09,50 C 17,09/04,04/06,122,166,LCV calipers,,F BR 100B,,,,,,,,,,,BREMBO,,,,,,,2
