brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FORD USA,F-150,10/91,12/97,4.9,10/91,09/96,110,150,Brake pads,Prime Ceramic,P24098N,,15mm,54mm,194mm,,,,,,,,Without,,D632 7503,With anti-squeal shim,
FORD USA,F-150,10/91,12/97,4.9 Supercab,10/91,09/96,136,185,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake discs,Prime,09.C274.21,350mm,34mm,50mm,,7,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake discs,Prime,09.D274.21,348mm,25mm,80mm,,6,Ventilated,90mm,23mm,,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake pads,Prime Ceramic,P24166N,,19mm,68 - 70mm,194mm,,,,,,,,Without,,"D1414 8528, D1770 8528, D2087 9322",With accessoriesWith anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake pads,Prime Ceramic,P24168N,,17mm,55mm,149mm,,,,,,,,Without,,D1602 8816,With accessoriesWith anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,3.5 4WD,09/10,>,272,370,Brake pads,Prime Ceramic,P24169N,,18mm,50mm,159mm,,,,,,,,Without,,D1012 8529,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150 Crew Cab Pickup,09/08,>,5.0 4WD,09/12,11/14,268,364,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,5.0 4WD,09/12,11/14,268,364,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150 Crew Cab Pickup,09/08,>,6.2 4WD,09/10,>,306,416,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,6.2 4WD,09/10,>,306,416,Brake discs,Prime,09.C274.21,350mm,34mm,50mm,,7,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,6.2 4WD,09/10,>,306,416,Brake discs,Prime,09.B595.11,348mm,20mm,86mm,,6,Ventilated,90mm,"18,5mm",,1,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/08,>,6.2 4WD,09/10,>,306,416,Brake discs,Prime,09.D274.21,348mm,25mm,80mm,,6,Ventilated,90mm,23mm,,1,,,,,,
